Age Group,AI Expertise,Question Number,Scenario,Options,Mapping,Weight,Ethical Score
13-19,Intermediate,14,For environmental activism,C – Use AI to write all your campaign content.,High AI impact,1-2,0
13-19,Intermediate,15,For personal finance basics,"A – Use AI for budgeting tools, make your own choices.",Balanced AI use,3-4,2
13-19,Intermediate,15,For personal finance basics,B – Budget and plan manually with a parent or book.,Low-impact conscious use,5-6,1
13-19,Intermediate,15,For personal finance basics,C – Let AI make all your financial decisions.,High AI impact,1-2,0
13-19,Intermediate,16,For art and design projects,"A – Use AI for colour and composition ideas, create yourself.",Balanced AI use,3-4,1
13-19,Intermediate,16,For art and design projects,B – Create all artwork completely yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,16,For art and design projects,C – Use AI to generate all your artwork.,High AI impact,1-2,0
13-19,Intermediate,17,For managing online identity,A – Use AI to manage all your profiles.,High AI impact,1-2,0
13-19,Intermediate,17,For managing online identity,"B – Use AI for privacy tips, manage accounts yourself.",Balanced AI use,3-4,1
13-19,Intermediate,17,For managing online identity,C – Handle all your accounts and privacy yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,18,For creative business ideas,A – Use AI to generate and plan the whole business.,High AI impact,1-2,0
13-19,Intermediate,18,For creative business ideas,B – Brainstorm and plan the business yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,18,For creative business ideas,"C – Use AI to research similar ideas, plan yourself.",Balanced AI use,3-4,1
13-19,Intermediate,19,For peer support tools,A – Engage with real peer support communities.,Low-impact conscious use,5-6,2
13-19,Intermediate,19,For peer support tools,"B – Use AI to find resources, connect with real people.",Balanced AI use,3-4,1
13-19,Intermediate,19,For peer support tools,C – Use an AI for all peer support.,High AI impact,1-2,0
13-19,Intermediate,20,For learning a new language,A – Learn through classes and real conversations.,Low-impact conscious use,5-6,2
13-19,Intermediate,20,For learning a new language,B – Use AI to translate everything all the time.,High AI impact,1-2,0
13-19,Intermediate,20,For learning a new language,C – Use AI for practice and corrections.,Balanced AI use,3-4,1
13-19,Expert,1,For building apps and tools,"A – Use AI to accelerate specific parts, code logic yourself.",Balanced AI use,3-4,2
13-19,Expert,1,For building apps and tools,B – Use AI to generate all code for the app.,High AI impact,1-2,0
13-19,Expert,1,For building apps and tools,C – Build the entire app from scratch yourself.,Low-impact conscious use,5-6,1
13-19,Expert,2,For exploring llms,A – Experiment with LLMs and learn how they actually work.,Balanced AI use,3-4,1
13-19,Expert,2,For exploring llms,B – Use an LLM for every task without understanding it.,High AI impact,1-2,0
13-19,Expert,2,For exploring llms,C – Study transformer architecture from first principles.,Low-impact conscious use,5-6,2
13-19,Expert,3,For training simple models,A – Train a model from scratch on your own dataset.,Low-impact conscious use,5-6,2
13-19,Expert,3,For training simple models,B – Use pre-trained models for everything.,High AI impact,1-2,0
13-19,Expert,3,For training simple models,C – Fine-tune a pre-trained model for your use case.,Balanced AI use,3-4,1
13-19,Expert,4,For prompt engineering,A – Design systematic prompts with clear objectives.,Balanced AI use,3-4,1
13-19,Expert,4,For prompt engineering,B – Use random prompts with no structure.,High AI impact,1-2,0
13-19,Expert,4,For prompt engineering,C – Build structured prompt pipelines with evaluation.,Low-impact conscious use,5-6,2
13-19,Expert,5,For computer vision basics,A – Use OpenCV and understand the processing pipeline.,Balanced AI use,3-4,2
13-19,Expert,5,For computer vision basics,B – Implement a vision algorithm from scratch.,Low-impact conscious use,5-6,1
13-19,Expert,5,For computer vision basics,C – Use a cloud vision API without understanding it.,High AI impact,1-2,0
13-19,Expert,6,For automating tasks,A – Use AI to automate everything without review.,High AI impact,1-2,0
13-19,Expert,6,For automating tasks,B – Automate only after fully understanding the manual steps.,Low-impact conscious use,5-6,2
13-19,Expert,6,For automating tasks,C – Script specific automations you understand and monitor.,Balanced AI use,3-4,1
13-19,Expert,7,For data analysis projects,"A – Use Python/pandas for analysis, AI for clarification.",Balanced AI use,3-4,2
13-19,Expert,7,For data analysis projects,B – Write all analysis code and interpretation yourself.,Low-impact conscious use,5-6,1
13-19,Expert,7,For data analysis projects,C – Use AI to run and interpret all analysis.,High AI impact,1-2,0
13-19,Expert,8,For building recommendation systems,A – Build a collaborative filtering model with guidance.,Balanced AI use,3-4,1
13-19,Expert,8,For building recommendation systems,B – Use an off-the-shelf AI recommender.,High AI impact,1-2,0
13-19,Expert,8,For building recommendation systems,C – Implement a recommendation algorithm from scratch.,Low-impact conscious use,5-6,2
13-19,Expert,9,For neural network basics,A – Use a black-box deep learning framework.,High AI impact,1-2,0
13-19,Expert,9,For neural network basics,B – Build a simple neural network using Keras or PyTorch.,Balanced AI use,3-4,1
13-19,Expert,9,For neural network basics,C – Implement backpropagation from scratch in code.,Low-impact conscious use,5-6,2
13-19,Expert,10,For ai-generated music,"A – Use AI tools for specific layers, compose the rest.",Balanced AI use,3-4,1
13-19,Expert,10,For ai-generated music,B – Use AI to produce all music automatically.,High AI impact,1-2,0
13-19,Expert,10,For ai-generated music,C – Compose and produce the full track yourself.,Low-impact conscious use,5-6,2
13-19,Expert,11,For api use and integration,A – Use AI to write all API integration code.,High AI impact,1-2,0
13-19,Expert,11,For api use and integration,B – Build the API client from scratch.,Low-impact conscious use,5-6,1
13-19,Expert,11,For api use and integration,"C – Learn the API docs, write the integration yourself.",Balanced AI use,3-4,2
13-19,Expert,12,For ai for competitive gaming,A – Use AI to analyse game data and improve strategy.,Balanced AI use,3-4,1
13-19,Expert,12,For ai for competitive gaming,B – Analyse your own performance without AI tools.,Low-impact conscious use,5-6,2
13-19,Expert,12,For ai for competitive gaming,C – Use AI to play the game for you.,High AI impact,1-2,0
13-19,Expert,13,For ai ethics discussions,A – Study AI ethics from multiple sources independently.,Low-impact conscious use,5-6,2
13-19,Expert,13,For ai ethics discussions,"B – Research AI ethics, form your own views.",Balanced AI use,3-4,1
13-19,Expert,13,For ai ethics discussions,C – Ask AI to write all your ethics arguments.,High AI impact,1-2,0
13-19,Expert,14,For creating ai-powered art,"A – Use AI for one element, create the rest yourself.",Balanced AI use,3-4,1
13-19,Expert,14,For creating ai-powered art,B – Use a generative AI tool for all artwork.,High AI impact,1-2,0
13-19,Expert,14,For creating ai-powered art,"C – Create entirely original work, no AI generation.",Low-impact conscious use,5-6,2
13-19,Expert,15,For ai for social causes,A – Plan and run the campaign entirely yourself.,Low-impact conscious use,5-6,1
13-19,Expert,15,For ai for social causes,"B – Use AI for data analysis, lead the campaign yourself.",Balanced AI use,3-4,2
13-19,Expert,15,For ai for social causes,C – Use AI to run the entire campaign.,High AI impact,1-2,0
13-19,Expert,16,For ai in scientific projects,A – Use AI to run and interpret all experiments.,High AI impact,1-2,0
13-19,Expert,16,For ai in scientific projects,B – Design and run all experiments independently.,Low-impact conscious use,5-6,1
13-19,Expert,16,For ai in scientific projects,"C – Use AI for literature review, run experiments yourself.",Balanced AI use,3-4,2
13-19,Expert,17,For building simple datasets,A – Use AI to generate all synthetic data.,High AI impact,1-2,0
13-19,Expert,17,For building simple datasets,B – Collect and clean all data entirely yourself.,Low-impact conscious use,5-6,2
13-19,Expert,17,For building simple datasets,C – Collect real data and use AI to clean it.,Balanced AI use,3-4,1
13-19,Expert,18,For fine-tuning basics,A – Fine-tune using a public framework you understand.,Balanced AI use,3-4,2
13-19,Expert,18,For fine-tuning basics,B – Implement fine-tuning from scratch.,Low-impact conscious use,5-6,1
13-19,Expert,18,For fine-tuning basics,C – Use a base model with no fine-tuning.,High AI impact,1-2,0
13-19,Expert,19,For ai career exploration,"A – Use AI for job market research, decide yourself.",Balanced AI use,3-4,1
13-19,Expert,19,For ai career exploration,B – Let AI map your entire career path.,High AI impact,1-2,0
13-19,Expert,19,For ai career exploration,C – Research through interviews and self-reflection.,Low-impact conscious use,5-6,2
13-19,Expert,20,For ai journalism and media,A – Research and write all journalism yourself.,Low-impact conscious use,5-6,1
13-19,Expert,20,For ai journalism and media,B – Use AI to write all your articles.,High AI impact,1-2,0
13-19,Expert,20,For ai journalism and media,"C – Use AI for research, write all articles yourself.",Balanced AI use,3-4,2
20-39,Beginner,1,For email writing,A – Write all your own emails.,Low-impact conscious use,5-6,2
20-39,Beginner,1,For email writing,"B – Use AI to draft, then edit in your own words.",Balanced AI use,3-4,1
20-39,Beginner,1,For email writing,C – Ask AI to write all your emails.,High AI impact,1-2,0
20-39,Beginner,2,For daily planning,"A – Use AI to suggest tasks, make decisions yourself.",Balanced AI use,3-4,1
20-39,Beginner,2,For daily planning,B – Plan your day yourself.,Low-impact conscious use,5-6,2
20-39,Beginner,2,For daily planning,C – Let AI plan your whole day.,High AI impact,1-2,0
20-39,Beginner,3,For fitness and health,A – Let AI plan all your workouts and diet.,High AI impact,1-2,0
20-39,Beginner,3,For fitness and health,B – Follow a plan from a trainer or fitness book.,Low-impact conscious use,5-6,1
20-39,Beginner,3,For fitness and health,"C – Use AI for workout ideas, adapt to your own needs.",Balanced AI use,3-4,2
20-39,Beginner,4,For cooking recipes,A – Ask AI what to cook for every meal.,High AI impact,1-2,0
20-39,Beginner,4,For cooking recipes,B – Use AI for recipe ideas when you're uninspired.,Balanced AI use,3-4,2
20-39,Beginner,4,For cooking recipes,C – Use cookbooks and ask friends for recipes.,Low-impact conscious use,5-6,1
20-39,Beginner,5,For travel planning,A – Ask AI to plan every detail of your trip.,High AI impact,1-2,0
20-39,Beginner,5,For travel planning,B – Research and book everything yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,5,For travel planning,"C – Use AI for destination research, plan yourself.",Balanced AI use,3-4,2
20-39,Beginner,6,For budget management,A – Track finances in a spreadsheet yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,6,For budget management,B – Let AI manage all your finances.,High AI impact,1-2,0
20-39,Beginner,6,For budget management,"C – Use AI budgeting tools, make your own decisions.",Balanced AI use,3-4,2
20-39,Beginner,7,For job applications,A – Write all applications yourself.,Low-impact conscious use,5-6,2
20-39,Beginner,7,For job applications,"B – Use AI for structure, write in your own voice.",Balanced AI use,3-4,1
20-39,Beginner,7,For job applications,C – Ask AI to write all your CVs and cover letters.,High AI impact,1-2,0
20-39,Beginner,8,For social media,A – Use AI to create and post all your content.,High AI impact,1-2,0
20-39,Beginner,8,For social media,B – Create and manage all content yourself.,Low-impact conscious use,5-6,2
20-39,Beginner,8,For social media,"C – Use AI for ideas, create the content yourself.",Balanced AI use,3-4,1
20-39,Beginner,9,For learning new skills,A – Use AI to do the skill for you.,High AI impact,1-2,0
20-39,Beginner,9,For learning new skills,B – Learn through courses and hands-on practice.,Low-impact conscious use,5-6,2
20-39,Beginner,9,For learning new skills,"C – Use AI for explanations, practise yourself.",Balanced AI use,3-4,1
20-39,Beginner,10,For home organisation,A – Let AI plan all your home routines.,High AI impact,1-2,0
20-39,Beginner,10,For home organisation,"B – Use AI for ideas, implement everything yourself.",Balanced AI use,3-4,2
20-39,Beginner,10,For home organisation,C – Plan and organise your home yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,11,For entertainment choices,A – Let AI pick all your films and shows.,High AI impact,1-2,0
20-39,Beginner,11,For entertainment choices,"B – Use AI for recommendations, choose yourself.",Balanced AI use,3-4,2
20-39,Beginner,11,For entertainment choices,C – Browse reviews and ask friends what to watch.,Low-impact conscious use,5-6,1
20-39,Beginner,12,For starting a side hustle,"A – Use AI for market research, build it yourself.",Balanced AI use,3-4,2
20-39,Beginner,12,For starting a side hustle,B – Research and start the business yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,12,For starting a side hustle,C – Ask AI to build and run your whole business.,High AI impact,1-2,0
20-39,Beginner,13,For managing anxiety,A – Use an AI therapy app as your only support.,High AI impact,1-2,0
20-39,Beginner,13,For managing anxiety,B – Talk to a therapist or trusted person.,Low-impact conscious use,5-6,2
20-39,Beginner,13,For managing anxiety,"C – Use AI for coping techniques, talk to people too.",Balanced AI use,3-4,1
20-39,Beginner,14,For language learning,A – Take a class and practise with real speakers.,Low-impact conscious use,5-6,2
20-39,Beginner,14,For language learning,B – Use AI to translate everything for you.,High AI impact,1-2,0
20-39,Beginner,14,For language learning,C – Use AI for practice and corrections.,Balanced AI use,3-4,1
20-39,Beginner,15,For parenting support,"A – Talk to your GP, health visitor, and other parents.",Low-impact conscious use,5-6,2
20-39,Beginner,15,For parenting support,B – Ask AI for all parenting decisions.,High AI impact,1-2,0
20-39,Beginner,15,For parenting support,"C – Use AI for tips, trust your own instincts.",Balanced AI use,3-4,1
20-39,Beginner,16,For understanding news,A – Ask AI to summarise all news for you.,High AI impact,1-2,0
20-39,Beginner,16,For understanding news,B – Use AI to explain complex stories.,Balanced AI use,3-4,2
20-39,Beginner,16,For understanding news,C – Read multiple news sources yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,17,For online dating / relationships,A – Let AI write all your messages.,High AI impact,1-2,0
20-39,Beginner,17,For online dating / relationships,"B – Use AI for icebreaker ideas, be yourself after.",Balanced AI use,3-4,1
20-39,Beginner,17,For online dating / relationships,C – Write your own authentic messages.,Low-impact conscious use,5-6,2
20-39,Beginner,18,For home decoration ideas,"A – Use AI for style ideas, design yourself.",Balanced AI use,3-4,2
20-39,Beginner,18,For home decoration ideas,B – Use AI to design your entire home.,High AI impact,1-2,0
20-39,Beginner,18,For home decoration ideas,C – Browse magazines and plan yourself.,Low-impact conscious use,5-6,1
20-39,Beginner,19,For car maintenance advice,"A – Use AI to understand a problem, get it checked.",Balanced AI use,3-4,1
20-39,Beginner,19,For car maintenance advice,B – Ask AI for all car maintenance decisions.,High AI impact,1-2,0
20-39,Beginner,19,For car maintenance advice,C – Take your car directly to a professional mechanic.,Low-impact conscious use,5-6,2
20-39,Beginner,20,For shopping decisions,A – Let AI decide all your purchases.,High AI impact,1-2,0
20-39,Beginner,20,For shopping decisions,"B – Use AI for product comparisons, decide yourself.",Balanced AI use,3-4,2
20-39,Beginner,20,For shopping decisions,C – Read reviews and decide yourself.,Low-impact conscious use,5-6,1
20-39,Intermediate,1,For work productivity,A – Handle all work tasks with your own systems.,Low-impact conscious use,5-6,1
20-39,Intermediate,1,For work productivity,"B – Use AI for repetitive tasks, lead the important work.",Balanced AI use,3-4,2
20-39,Intermediate,1,For work productivity,C – Automate all your work tasks with AI.,High AI impact,1-2,0
20-39,Intermediate,2,For creative projects,A – Use AI to generate all creative output.,High AI impact,1-2,0
20-39,Intermediate,2,For creative projects,"B – Use AI for ideas, create everything yourself.",Balanced AI use,3-4,1
20-39,Intermediate,2,For creative projects,C – Create entirely without AI involvement.,Low-impact conscious use,5-6,2
20-39,Intermediate,3,For financial planning,"A – Use AI for analysis, make all decisions yourself.",Balanced AI use,3-4,2
20-39,Intermediate,3,For financial planning,B – Let AI make all financial decisions.,High AI impact,1-2,0
20-39,Intermediate,3,For financial planning,C – Plan your finances with a professional or yourself.,Low-impact conscious use,5-6,1
20-39,Intermediate,4,For learning to code,"A – Use AI to explain concepts, write the code yourself.",Balanced AI use,3-4,1
20-39,Intermediate,4,For learning to code,B – Code everything yourself from documentation.,Low-impact conscious use,5-6,2
20-39,Intermediate,4,For learning to code,C – Use AI to write all your code.,High AI impact,1-2,0
20-39,Intermediate,5,For content creation,A – Use AI to write all your content.,High AI impact,1-2,0
20-39,Intermediate,5,For content creation,B – Write all content from scratch yourself.,Low-impact conscious use,5-6,2
20-39,Intermediate,5,For content creation,"C – Use AI for outlines, write in your own voice.",Balanced AI use,3-4,1
20-39,Intermediate,6,For freelance work,A – Complete all client work yourself.,Low-impact conscious use,5-6,2
20-39,Intermediate,6,For freelance work,"B – Use AI for research and drafting, deliver in your voice.",Balanced AI use,3-4,1
20-39,Intermediate,6,For freelance work,C – Use AI to complete all client work.,High AI impact,1-2,0
20-39,Intermediate,7,For starting a business,A – Let AI build and run your whole business.,High AI impact,1-2,0
20-39,Intermediate,7,For starting a business,B – Start and run the business entirely yourself.,Low-impact conscious use,5-6,1
20-39,Intermediate,7,For starting a business,"C – Use AI for market research, build the business yourself.",Balanced AI use,3-4,2
20-39,Intermediate,8,For data analysis basics,A – Use AI to run all analysis automatically.,High AI impact,1-2,0
20-39,Intermediate,8,For data analysis basics,"B – Use AI for complex queries, interpret results yourself.",Balanced AI use,3-4,2
20-39,Intermediate,8,For data analysis basics,C – Learn SQL or Excel and run all analysis yourself.,Low-impact conscious use,5-6,1
20-39,Intermediate,9,For career growth,"A – Use AI for job market research, make choices yourself.",Balanced AI use,3-4,1
20-39,Intermediate,9,For career growth,B – Ask AI to plan your entire career.,High AI impact,1-2,0
20-39,Intermediate,9,For career growth,C – Network with mentors and plan your career yourself.,Low-impact conscious use,5-6,2
20-39,Intermediate,10,For building a personal brand,"A – Use AI for content ideas, create and post yourself.",Balanced AI use,3-4,1
20-39,Intermediate,10,For building a personal brand,B – Use AI to create all your brand content.,High AI impact,1-2,0
20-39,Intermediate,10,For building a personal brand,C – Build your brand through authentic self-expression.,Low-impact conscious use,5-6,2
20-39,Intermediate,11,For project management,A – Manage projects with your own tools and experience.,Low-impact conscious use,5-6,1
20-39,Intermediate,11,For project management,"B – Use AI for scheduling, lead the project yourself.",Balanced AI use,3-4,2
20-39,Intermediate,11,For project management,C – Let AI manage all your project decisions.,High AI impact,1-2,0
20-39,Intermediate,12,For market research,"A – Use AI for data collection, analyse and decide yourself.",Balanced AI use,3-4,2
20-39,Intermediate,12,For market research,B – Use AI to do all market research.,High AI impact,1-2,0
20-39,Intermediate,12,For market research,C – Conduct research through interviews and direct analysis.,Low-impact conscious use,5-6,1
20-39,Intermediate,13,For mental wellness tools,A – Use an AI wellness app as your only tool.,High AI impact,1-2,0
20-39,Intermediate,13,For mental wellness tools,B – Focus on human connection and professional support.,Low-impact conscious use,5-6,2
20-39,Intermediate,13,For mental wellness tools,"C – Use AI for tracking, engage with real people too.",Balanced AI use,3-4,1
20-39,Intermediate,14,For remote work tools,A – Work without AI using your own systems.,Low-impact conscious use,5-6,1
20-39,Intermediate,14,For remote work tools,"B – Use AI for meeting summaries, work independently.",Balanced AI use,3-4,2
20-39,Intermediate,14,For remote work tools,C – Use AI to automate all remote work tasks.,High AI impact,1-2,0
20-39,Intermediate,15,For skill development,A – Build skills through deliberate practice only.,Low-impact conscious use,5-6,2
20-39,Intermediate,15,For skill development,B – Use AI to shortcut all skill-building.,High AI impact,1-2,0
20-39,Intermediate,15,For skill development,"C – Use AI for guidance, put in the practice yourself.",Balanced AI use,3-4,1
20-39,Intermediate,16,For property research,"A – Use AI for market data, decide yourself.",Balanced AI use,3-4,2
20-39,Intermediate,16,For property research,B – Research independently and consult a professional.,Low-impact conscious use,5-6,1
20-39,Intermediate,16,For property research,C – Use AI to make all property decisions.,High AI impact,1-2,0
20-39,Intermediate,17,For educational content creation,A – Use AI to write all your course material.,High AI impact,1-2,0
20-39,Intermediate,17,For educational content creation,B – Create all educational content entirely yourself.,Low-impact conscious use,5-6,2
20-39,Intermediate,17,For educational content creation,"C – Use AI for structure, write the content yourself.",Balanced AI use,3-4,1
20-39,Intermediate,18,For environmental footprint tracking,A – Track your impact manually and make informed choices.,Low-impact conscious use,5-6,1
20-39,Intermediate,18,For environmental footprint tracking,B – Use AI to manage all your sustainability choices.,High AI impact,1-2,0
20-39,Intermediate,18,For environmental footprint tracking,"C – Use AI to calculate footprint, make changes yourself.",Balanced AI use,3-4,2
20-39,Intermediate,19,For relationship and life coaching,"A – Use AI for reflection prompts, seek human support.",Balanced AI use,3-4,1
20-39,Intermediate,19,For relationship and life coaching,B – Use AI as your sole life coach.,High AI impact,1-2,0
20-39,Intermediate,19,For relationship and life coaching,C – Work with a real coach or trusted person.,Low-impact conscious use,5-6,2
20-39,Intermediate,20,For managing personal health data,A – Share all health data with AI for decisions.,High AI impact,1-2,0
20-39,Intermediate,20,For managing personal health data,"B – Use AI for tracking, consult a doctor for decisions.",Balanced AI use,3-4,2
20-39,Intermediate,20,For managing personal health data,C – Track health manually and consult your GP.,Low-impact conscious use,5-6,1
20-39,Expert,1,For building ai-powered apps,A – Use AI only where it clearly outperforms simpler methods.,Low-impact conscious use,5-6,1
20-39,Expert,1,For building ai-powered apps,B – Use the right-sized model for each specific task.,Balanced AI use,3-4,2
20-39,Expert,1,For building ai-powered apps,C – Use the largest model available for everything.,High AI impact,1-2,0
20-39,Expert,2,For working with llms,A – Use LLMs for specific steps with clear evaluation.,Balanced AI use,3-4,2
20-39,Expert,2,For working with llms,B – Use LLMs only where they outperform simpler approaches.,Low-impact conscious use,5-6,1
20-39,Expert,2,For working with llms,C – Use LLMs for all text tasks without evaluation.,High AI impact,1-2,0
20-39,Expert,3,For training ml models,A – Train a targeted model with minimum required data.,Balanced AI use,3-4,2
20-39,Expert,3,For training ml models,B – Train the largest model possible on all data.,High AI impact,1-2,0
20-39,Expert,3,For training ml models,C – Use rule-based systems until ML is clearly justified.,Low-impact conscious use,5-6,1
20-39,Expert,4,For prompt engineering at scale,A – Design and systematically evaluate prompt pipelines.,Balanced AI use,3-4,2
20-39,Expert,4,For prompt engineering at scale,B – Use structured templates with rigorous benchmarking.,Low-impact conscious use,5-6,1
20-39,Expert,4,For prompt engineering at scale,C – Run thousands of prompts without evaluation.,High AI impact,1-2,0
20-39,Expert,5,For computer vision projects,A – Implement the minimum viable vision solution.,Low-impact conscious use,5-6,1
20-39,Expert,5,For computer vision projects,B – Use a large cloud model for all inference.,High AI impact,1-2,0
20-39,Expert,5,For computer vision projects,C – Use a pre-trained model fine-tuned for your use case.,Balanced AI use,3-4,2
20-39,Expert,6,For nlp projects,A – Use a smaller model suited to the specific task.,Balanced AI use,3-4,2
20-39,Expert,6,For nlp projects,B – Use GPT-4 for all text processing.,High AI impact,1-2,0
20-39,Expert,6,For nlp projects,C – Build a targeted rule-based or small-model solution.,Low-impact conscious use,5-6,1
20-39,Expert,7,For building recommendation systems,A – Use a simple rule-based recommender and iterate.,Low-impact conscious use,5-6,1
20-39,Expert,7,For building recommendation systems,B – Deploy a massive system without clear metrics.,High AI impact,1-2,0
20-39,Expert,7,For building recommendation systems,C – Build a targeted recommender with clear success criteria.,Balanced AI use,3-4,2
20-39,Expert,8,For automating workflows,A – Automate only after deeply understanding the manual flow.,Low-impact conscious use,5-6,1
20-39,Expert,8,For automating workflows,B – Automate everything immediately with AI.,High AI impact,1-2,0
20-39,Expert,8,For automating workflows,C – Automate specific bottlenecks after manual testing.,Balanced AI use,3-4,2
20-39,Expert,9,For model evaluation,A – Build custom evaluation datasets for your use case.,Low-impact conscious use,5-6,2
20-39,Expert,9,For model evaluation,B – Evaluate on standard benchmarks for your task.,Balanced AI use,3-4,1
20-39,Expert,9,For model evaluation,C – Skip evaluation and trust the model.,High AI impact,1-2,0
20-39,Expert,10,For fine-tuning models,A – Fine-tune the largest available model.,High AI impact,1-2,0
20-39,Expert,10,For fine-tuning models,B – Evaluate whether fine-tuning is needed vs prompting.,Low-impact conscious use,5-6,2
20-39,Expert,10,For fine-tuning models,C – Fine-tune a base model on a minimal representative dataset.,Balanced AI use,3-4,1
20-39,Expert,11,For deploying ai models,A – Deploy with full observability and rollback plans.,Low-impact conscious use,5-6,2
20-39,Expert,11,For deploying ai models,B – Deploy with basic logging and performance monitoring.,Balanced AI use,3-4,1
20-39,Expert,11,For deploying ai models,C – Deploy immediately with no monitoring.,High AI impact,1-2,0
20-39,Expert,12,For data pipeline creation,A – Define minimum data requirements before building.,Low-impact conscious use,5-6,2
20-39,Expert,12,For data pipeline creation,B – Ingest relevant data with quality checks.,Balanced AI use,3-4,1
20-39,Expert,12,For data pipeline creation,C – Ingest all available data without filtering.,High AI impact,1-2,0
20-39,Expert,13,For ai for product design,A – Make product decisions from direct user research.,Low-impact conscious use,5-6,1
20-39,Expert,13,For ai for product design,B – Use AI for all product decisions.,High AI impact,1-2,0
20-39,Expert,13,For ai for product design,"C – Use AI for user research synthesis, you set direction.",Balanced AI use,3-4,2
20-39,Expert,14,For multimodal ai use,A – Use multimodal only where text alone is insufficient.,Balanced AI use,3-4,1
20-39,Expert,14,For multimodal ai use,B – Use multimodal AI for every task.,High AI impact,1-2,0
20-39,Expert,14,For multimodal ai use,C – Use the simplest input modality that solves the problem.,Low-impact conscious use,5-6,2
20-39,Expert,15,For ai ethics in practice,A – Conduct full ethical review before every deployment.,Low-impact conscious use,5-6,2
20-39,Expert,15,For ai ethics in practice,B – Review for bias and fairness at key milestones.,Balanced AI use,3-4,1
20-39,Expert,15,For ai ethics in practice,C – Ship features without ethical review.,High AI impact,1-2,0
20-39,Expert,16,For ai-assisted creative work,"A – Create entirely yourself, AI only for technical checks.",Low-impact conscious use,5-6,2
20-39,Expert,16,For ai-assisted creative work,B – Let AI do all the creative work.,High AI impact,1-2,0
20-39,Expert,16,For ai-assisted creative work,"C – Use AI for exploration, direct the creative output.",Balanced AI use,3-4,1
20-39,Expert,17,For integrating ai into teams,A – Introduce AI incrementally with full team understanding.,Low-impact conscious use,5-6,1
20-39,Expert,17,For integrating ai into teams,B – Integrate AI for specific team pain points.,Balanced AI use,3-4,2
20-39,Expert,17,For integrating ai into teams,C – Replace as many team processes as possible.,High AI impact,1-2,0
20-39,Expert,18,For object detection projects,A – Select a model sized to your inference constraints.,Balanced AI use,3-4,2
20-39,Expert,18,For object detection projects,B – Implement a minimal detection pipeline for your task.,Low-impact conscious use,5-6,1
20-39,Expert,18,For object detection projects,C – Use the largest detection model on all data.,High AI impact,1-2,0
20-39,Expert,19,For ai for research,"A – Use AI for literature review, conduct research yourself.",Balanced AI use,3-4,1
20-39,Expert,19,For ai for research,B – Use AI to generate all research findings.,High AI impact,1-2,0
20-39,Expert,19,For ai for research,"C – Use AI only for search, conduct all analysis yourself.",Low-impact conscious use,5-6,2
20-39,Expert,20,For ai for business strategy,A – Let AI make all strategic decisions.,High AI impact,1-2,0
20-39,Expert,20,For ai for business strategy,"B – Use your expertise to strategise, AI only for data.",Low-impact conscious use,5-6,2
20-39,Expert,20,For ai for business strategy,"C – Use AI for market and data analysis, strategise yourself.",Balanced AI use,3-4,1
40-59,Beginner,1,For health information,"A – Consult your GP or pharmacist directly, no AI.",Low-impact conscious use,5-6,2
40-59,Beginner,1,For health information,B – Ask AI for all health diagnoses and advice.,High AI impact,1-2,0
40-59,Beginner,1,For health information,"C – Use AI to understand symptoms, then call your GP.",Balanced AI use,3-4,1
40-59,Beginner,2,For email assistance,A – Write all your own emails.,Low-impact conscious use,5-6,2
40-59,Beginner,2,For email assistance,B – Ask AI to write all your emails.,High AI impact,1-2,0
40-59,Beginner,2,For email assistance,"C – Use AI for difficult emails, write simple ones yourself.",Balanced AI use,3-4,1
40-59,Beginner,3,For understanding medical info,A – Let AI explain and make all medical decisions.,High AI impact,1-2,0
40-59,Beginner,3,For understanding medical info,B – Discuss everything directly with your doctor.,Low-impact conscious use,5-6,2
40-59,Beginner,3,For understanding medical info,"C – Use AI to understand medical terms, then discuss with your doctor.",Balanced AI use,3-4,1
40-59,Beginner,4,For recipes and cooking,A – Use cookbooks and family recipes you know well.,Low-impact conscious use,5-6,1
40-59,Beginner,4,For recipes and cooking,B – Use AI when you need cooking inspiration.,Balanced AI use,3-4,2
40-59,Beginner,4,For recipes and cooking,C – Ask AI what to cook for every meal.,High AI impact,1-2,0
40-59,Beginner,5,For learning new technology,A – Ask a family member or attend a local class.,Low-impact conscious use,5-6,1
40-59,Beginner,5,For learning new technology,B – Use AI for step-by-step explanations.,Balanced AI use,3-4,2
40-59,Beginner,5,For learning new technology,C – Ask AI to handle all technology tasks for you.,High AI impact,1-2,0
40-59,Beginner,6,For staying connected with family,"A – Call, text, and visit family directly.",Low-impact conscious use,5-6,2
40-59,Beginner,6,For staying connected with family,B – Use AI to write all family messages.,High AI impact,1-2,0
40-59,Beginner,6,For staying connected with family,"C – Use AI to suggest topics, write messages yourself.",Balanced AI use,3-4,1
40-59,Beginner,7,For travel planning,A – Ask AI to plan every detail of your trip.,High AI impact,1-2,0
